Category,Sub-Category,Quest Name/Concept,Trigger/When,Quest Giver NPC,Season,Objective,Difficulty Tier,Reward Type,Reward Details,Consequence NPC(s),Consequence Type,Consequence Details,Mod support,Deadline (days),Notes,Effort,Constraints,Status
Seasonal,Fall,Preserves Season,Special Orders board,Various,Fall,"NPCs request jams, pickles, wines for winter stockpiling",Intermediate,Gold + Friendship,RewardMultiplierAboveSell of items price + FriendshipBasic,None,None,,Yes - any preserves/wine,DeadlineExtended,"""Deliver <jam> to X, <pickles> to Y, <wine> to Z, <dried mushrooms> to XX"" all in one quest. Number of deliverables should increase/decrease based on skill level.","SpecialOrder with multiple Deliver objectives (jam->X, pickle->Y, wine->Z, dried mushroom->XX). Number of objectives scales with farming skill via dynamic objective injection. Med-High.",Cooldown=21d,Not started
Farming,Crop Delivery,Quality Crop Delivery,Daily board,Any,Any,Deliver X Gold-quality seasonal crops,Intermediate (Skill 4-6),Gold + Friendship,GoldBasicBase to GoldIntermediateBase + FriendshipBasic,None,None,,Yes,DeadlineMedium,Quality requirement adds difficulty,"Vanilla ItemDeliveryQuest does not enforce quality. Subclass to override checkIfComplete with Object.Quality check, OR use SpecialOrder with quality-aware Deliver objective. Med.",Cooldown=3d,Not started
Fishing,Quality Catch,Quality Fish Delivery,Daily board,Willy,Any,Catch X Gold-quality fish of specific type,Intermediate,Gold + Friendship,GoldBasicBase to GoldIntermediateBase + FriendshipBasic,None,None,,Yes,DeadlineShort to DeadlineMedium,,"Custom FishingQuest variant tracking caught Object.Quality via FishingRod.pullItemFromWater Harmony patch, OR convert to ItemDeliveryQuest with quality-aware completion override. Med.",Cooldown=3d; OnePerGiver,Not started
Festival,Trout Derby,Rainbow Platter,Summer 20-21,Gus/Pika (RSV)/Rosa (East Scarp)/ Celestine (VMV),Summer,Catch FestivalFishQty Rainbow Trout during the Trout Derby,Advanced,Specific recipe + shop discount,Vanilla/ES recipe (trout soup/maki roll). Pika: Highland Ice Cream recipe. Celestine: Toast and Trout recipe. Quest giver sells the meal at ShopDiscountPercent off for ShopDiscountDurationDays.,None,None,,Yes - recipes/dishes,DeadlineShort,,"Same pattern as SquidFest: Summer 20-21 active window, Rainbow Trout catch tracking + mod-aware recipe reward + ShopDiscountDurationDays shop discount via Data/Shops asset edit. Med-High.",DateLocked=Summer 20-21; OneTimePerYear,Not started
Fishing,Weather Locked,Rainy Day Catch,Daily board,Willy/Blair (RSV)/ Carmen (RSV),Any,Catch fish that only spawn in rain,Advanced,Gold + Item,GoldIntermediateBase + rare tackle,None,None,,Yes,DeadlineMedium to DeadlineLong,"Can receive as a letter if the weather forecast is rain tomorrow (for this, deadline should be DeadlineShort fixed). Can also spawn on quest board randomly (for this, deadline is the configured usual help wanted deadline)","Two trigger paths: (a) Mail sent when Game1.weatherForTomorrow == rain, deadline DeadlineShort; (b) random board posting with normal deadline. FishingQuest filtered to fish whose Data/Fish weather field == rain. Med.",Cooldown=5d; OnePerGiver,Not started
Foraging,Advanced Gather,Rare Forage Hunt,Daily board,Any,Any,Gather and ship rare forage items (e.g. rainbow shell),Advanced,Gold + Item,GoldIntermediateBase + random seasonal seeds x 10,None,None,,Yes,DeadlineShort to DeadlineMedium,,"ItemDeliveryQuest (or shipping-tracked variant) picking from rare forage pool (Rainbow Shell, Cactus Fruit, Magma Cap) + modded forage filtered by ContextTag forage_item. Low-Med.",Cooldown=4d,Not started
Mining,Resource,Rare Material Request,Daily board,Clint,Any,Deliver Iridium Bars or rare gems,Advanced,Gold (high),GoldAdvancedBase + 3x artifact troves or 5x gems,None,None,,Partially - modded geode/gems,DeadlineMedium to DeadlineLong,,ItemDeliveryQuest for Iridium Bars / rare gems to Clint. Reward includes 3x Artifact Trove or 5x gems via inventory add. Low.,Cooldown=7d; OnePerGiver,Not started
Animal,Upgrade Trigger,Robin's Silo Offer,"After building first coop/barn, if player does not yet have a Silo",Robin,Any,"Robin offers crafting quest (gather 1 type of build material for the Silo, she will contribute the rest)",Intermediate,Building,Free/cheap Silo,None,None,,No,DeadlineMedium,,"DayStarted: if first coop/barn exists AND no Silo on Farm. Mail+custom Quest requesting one Silo material (Stone/Clay/Copper Bar). On complete, place Silo via Building constructor at chosen tile (or open Robin build menu pre-paid). Med.",OneTime,Not started
Fishing,Large Haul,Seafood Night,Daily board,Gus/Pika (RSV)/Rosa (East Scarp)/ Celestine (VMV),Any,Catch FishHaulLargeQty+ of a specific edible fish (non poisonous),Expert,Gold (very high),RewardMultiplierFishPremium of fish price (configurable),Demetrius + Linus,Tier 3 - Significant,Lose FriendshipLarge with Demetrius/Maddie (RSV)/Mr Aguar (RSV) (+overfishing dialogue),Yes,DeadlineLong,Warning in quest description,"FishingQuest qty FishHaulLargeQty+ on edible non-poisonous fish (filter Data/Fish by category != poison). Tier 3 consequence -FriendshipLarge friendship to Demetrius/Linus + analogues, multi-day dialogue chain via DialogueQueue. Low-Med.",Cooldown=10d; OnePerGiver,Not started
Festival,Winter Star,Secret Gift Hint,Winter 22,Board,Winter,A clue about what your assigned person wants,Special,Information,Hint about gift recipient's preferences,None,None,,Yes - can be modded npc,DeadlineShort,"Unique info quest. Completed when you deliver gift during winter star event. ""To my secret gift giver: I'd really love a <loved item>"". Some people might not like this spoiler, so they can disable this quest in configs.","DayStarted Winter 22. Resolve Winter Star recipient via vanilla NetWorldState (team.GetWinterStarRecipient or equivalent), look up their Loved/Liked from Data/NPCGiftTastes. Quest description embeds hint. Completion via Event command hook on Winter Star gift exchange. Med-High.",DateLocked=Winter 22; OneTimePerYear,Not started
Mining,Combat,Skull Cavern Deep Dive,Daily board,Adventurer's Guild,Any,"Reach floor X in Skull Cavern, retrieve X amount of ore (any type of ore)/stone",Advanced,Gold (high) + Item,"GoldAdvancedBase + bar equivalent of ore quantity (1 copper bar for 5 ores retrieved, 2 iridium bars for 10 iridium ores retrieved etc.)",None,None,,No,DeadlineMedium to DeadlineLong,Requires Skull Cavern access. Also create a normal Mines equivalent of this quest. Make the max level of skull caverns configurable.,Best as Data/SpecialOrders entry with two objectives: ReachMineLevel (DayStarted poll of Game1.CurrentMineLevel or custom) + Deliver N ore. Reward smelts to bars via inventory add. Med-High.,Cooldown=14d,Not started
Fishing,Size Specific,Small/Medium/Large fish overpopulation,Daily board,Demetrius,Any,Fish specific size fish (only size of the fish is checked so any fish can qualify),Intermediate,Gold + Bait,GoldIntermediateBase + bait,None,None,,Yes,DeadlineShort,"Arbitrary reason for overpopulation. e.g. ""I'm trying to introduce some <small fish that spawns in quest location> but <quest fish if it's a big fish> keep preying on them. We should reduce their numbers to balance things""",Track fished size via Harmony patch on FishingRod.pullFishFromWater (recordSize field). Custom Quest objective compares against size threshold (Small/Med/Large bucket from Data/Fish max size). Med-High.,Cooldown=4d; OnePerGiver,Not started
Seasonal,Spring,Spring Cleaning,Daily board,Any,Spring,Clear weeds around town,Beginner,Friendship,FriendshipBasic with questgiver,None,None,,Yes,DeadlineShort,"Spring-only. ""The weeds around town are such an eyesore. Can someone clear them out?""",Doable: track weed removals via Harmony patch on Object.performToolAction (filter Object.IsWeeds()) or watch ObjectListChanged for vanishing weed objects in Town. Custom Quest with kill counter. Med.,Season=Spring; Cooldown=5d,Not started
Festival,SquidFest,SquidFest Showcase,Winter 12-13,Gus/Pika (RSV)/Rosa (East Scarp)/ Celestine (VMV),Winter,Catch FestivalFishQty Squid during the SquidFest,Advanced,Specific recipe + shop discount,Gus/Rosa/Celestine: Squid Ink Ravioli/Fried Calamari recipe. Pika: Ridgeside Shaketini recipe. Quest giver sells the meal at ShopDiscountPercent off for ShopDiscountDurationDays.,None,None,,Yes - recipes/dishes,DeadlineShort,,Active during Winter 12-13 only. Custom FishingQuest counting Squid catches via Harmony patch on FishingRod.pullItemFromWater (or InventoryChanged delta). Reward = recipe per quest giver (mod-aware) + asset-edit shop's Data/Shops to discount the dish ShopDiscountPercent for ShopDiscountDurationDays. Med-High.,DateLocked=Winter 12-13; OneTimePerYear,Not started
Festival,Night Market,Submarine Fuel,Winter 12,Captain,Winter,Ship Battery Pack OR Coal,Intermediate,Item,Pearl via NextDay mail,None,None,,No,DeadlineShort,"Captain isn't a vanilla NPC. Reward Pearl arrives via authored Data/mail letter (RafiaBee.MoreQuests.SubmarineFuelReward) the next morning.","Generator SubmarineFuel. Mail-delivered (DateLocked default). Single-objective Ship with weighted alternatives - 1 Battery Pack = 15 fuel units, 1 Coal = 1 fuel unit. Difficulty scaling: max(15, floor(15 x 1.5 x MiningLevel)) total fuel when DifficultyScaling on (level 0=15 fuel, level 1=22, level 2=45). Off: fixed 30 fuel (= 2 batteries / 30 coal). Low-Med.",DateLocked=Winter 12; OneTimePerYear,Implemented (7b)
Festival,Spirit's Eve,Wizard's Ritual Materials,Fall 24,M. Rasmodius,Fall,"Ship Void Essence + Bat Wings + Solar Essence",Advanced,Item,Book of Mysteries via NextDay mail,None,None,,Partially,DeadlineShort,3 days before Spirit's Eve. Mail letter signed M. Rasmodius (the Wizard's full name). Reward arrives next morning via authored Data/mail letter (RafiaBee.MoreQuests.WizardsRitualReward).,"Generator WizardsRitualMaterials. Mail-delivered (DateLocked default). Multi-step Adventure (parallel Ship). Difficulty scaling: max(1, 2 x CombatLevel) per essence when DifficultyScaling on (level 0=1, level 1=2, level 2=4 each). Off: fixed 3 of each. Reward = Book of Mysteries attached to NextDay mail letter. Low-Med.",DateLocked=Fall 24; OneTimePerYear,Implemented (7b)
Festival,Winter Star,Wrapping paper,Winter 20,Lewis,Winter,Ship Paper and Tape,Intermediate,Item,Book of Stars,None,None,,Yes - only triggers if Nexus mod 25467 is installed,DeadlineMedium,5 days before festival,"DayStarted Winter 20. Helper.ModRegistry.IsLoaded gate for Nexus 25467. Shipping quest for Paper + Tape. Reward Book of Stars via inventory add. Med (mod-gated, simple otherwise).",DateLocked=Winter 20; OneTimePerYear,Not started
Social,Hearts-Gated,Deep Friendship Quest,Triggered at heart level,Various,Any,NPC-specific requests unlocked at higher heart levels,Varies,Recipe/Item/Friendship,Unique per NPC,None,None,,No,DeadlineShort to DeadlineMedium,Scales with hearts not skills,Deferred per Status.,,Won't do
Seasonal,Fall,Harvest Bounty Competition,Special Orders board,Multiple,Fall,Multiple NPCs compete for best crop donations,Intermediate,Gold + Friendship,Varies by which NPC you help,Other NPCs,Tier 1 - Comment,NPCs you didn't help are slightly disappointed,Yes,DeadlineShort,Competing quests mechanic,Deferred per Status. (Would require parallel SpecialOrder branches with mutual exclusion + cross-NPC consequence pass.),,Won't do
Seasonal,Winter,Holiday Cooking Help,Daily board,Evelyn/Gus,Winter,Deliver baking ingredients for winter holiday prep,Beginner,Friendship + Item,FriendshipBasic + baked goods,None,None,,Yes,DeadlineShort,,Deferred per Status.,,Won't do
Seasonal,Winter,Ice Fishing Challenge,Daily board,Willy,Winter,Winter-exclusive fishing challenges,Intermediate,Gold + Item,GoldIntermediateBase + winter fishing gear,None,None,,Yes - winter fish,DeadlineShort,,Deferred per Status.,,Won't do
Seasonal,Winter,Snowbound Deliveries,Daily board,Various,Winter,Deliver supplies to NPCs living far from town,Beginner,Friendship (large),FriendshipLarge with recipient,None,None,,No,DeadlineShort,Immersive winter quest,Deferred per Status.,,Won't do
